120.285 31.025 困难 0 150 山腰观测点1
120.28194 31.029444 简单 150 240 湖边观测点
120.28639 31.033611 简单 120 240 观景台观测点
120.28583 31.035556 中等 0 120 矿物地观测点
120.29778 31.031667 中等 330 210 居民活动观测点
120.29 31.036389 简单 270 120 东泊码头观测点
120.29444 31.028889 困难 210 300 山腰观测点2
120.28278 31.025556 中等 210 30 生物多样性观测点
120.29056 31.0275 简单 200 45 游客中心观测点
120.283333 31.021944 中等 114 282 小姑山石子路观测点
120.287500 31.025000 中等 150 300 湿地公园观测点
120.293889 31.031667 困难 1 359 山顶观测点
120.296111 31.034167 简单 0 180 岛艺宿民居观测点
120.282778 31.022500 简单 60 200 飞龙桥观测点
120.298333 31.030000 简单 0 90 旭日山庄观测点
